display_id,num_comms
YtoM5PD9OP0,0.0
Gqo8NTp28pc,230.0
DpJauDM8d34,0.0
W_dFLYNuz7Q,0.0
hEBJpyJ5ePM,6.0
uNqZU6TKIio,3.0
_7uO_sEDg_M,0.0
FleS3d8OtQ0,18.0
cHbJFn9mn1k,7.0
0IXU7qbanNM,0.0
wmHUWHp4Tc4,67.0
20GkkM5zA2s,37.0
wN0BTn_LjiQ,0.0
HiKQwveMxag,0.0
r-Lu2jNGlVA,11.0
GeCqdF0GRlg,0.0
Y-TilircJZ4,3545.0
Z-ZG74Fv-90,38.0
vCvU0TxWJPI,0.0
AiylBFoS6Q4,9.0
lv--sGPTYtk,333.0
uKy8cIeTFnk,1.0
TXtjXUdayvA,12.0
_SGAuC8L2lM,98.0
0rKDTO6eVm8,34.0
48DukZNt92E,127.0
nHPj_ytFPgk,3.0
9zokfqqrjQ8,5.0
pMc0jk7xZdQ,2096.0
bT2d7GFqWrI,18.0
2mbhQW0qLhw,152.0
Mb_JBerZsrI,73.0
f2HuzLfNm7s,15.0
z8_XrVgiPPw,0.0
KyGSut62owU,78.0
f2F_w0M-poU,1.0
uKvbB9yNmz8,36.0
g6u2JBC1tv0,129.0
umSJe9qTqSc,389.0
KkisLBuoKMs,1524.0
674RuTkGy4A,0.0
KoL1PBMqckE,2.0
UMbP_fMCyjE,2.0
d14mpy570qg,19.0
Vxe3nA5d5pY,0.0
eJpjONLgvXM,3.0
yDPRHMyo7Vk,10.0
h4CcKSv97h0,4.0
c7_C6Z7lcCU,1352.0
6mUFlPUTQbk,4.0
Z0Qfr3sEk98,8.0
APWth8mMM50,59.0
mYEFO3zRSo8,43.0
xxVbNSTQ5os,0.0
gsURPIH6OFE,0.0
a6Jfcz5KhVY,53.0
Oa08er9aZCE,0.0
vPYGZWfWglo,1.0
5S4h1gcCMBc,877.0
8ZRbLQzeLUA,0.0
nBRDQ7n_y-o,0.0
6CKkPQfPNxg,58.0
EaXhRU1q7tU,21.0
fatAHdTiwEc,69.0
ohug2pKZMVc,9.0
amsh0PL_JcY,109.0
V1bRYn4vReA,73.0
gjfGLOIz66U,41.0
P0OU4bFhwCI,8.0
6sgeDlI_KhM,0.0
fm_2r4xFeH8,10.0
dcUMe8IkGGw,24.0
UVuWjLp4PLE,85.0
ZPtkhA-lVYM,34.0
UlxG7Qc5fvE,2.0
9YGjrdBJRac,3.0
HgciZH9_oH4,17.0
b--Whie6SUA,0.0
9_d514h1_-U,0.0
ZHnAAO7gSvE,3816.0
rs_mGMVgPEM,0.0
8mkN7xjNreY,8.0
akNCRYCdgfs,2.0
J31A9tz00fE,0.0
0-xa8Nv6tWw,1.0
txUiyBsJ8oY,0.0
XG0fDEwooSg,195.0
KunQNYDsNEs,540.0
oF3vWJwR2CU,34.0
laSYEv16Tzo,9.0
8IYUU1Tn5bs,0.0
WYWP-tGyIfQ,78.0
s-8C5gwBdQg,40.0
syIAeWvzh0U,0.0
Xs42BJXapG0,1.0
_w0KZpuP-Mg,3.0
SoU1TAkhSZ4,3.0
EGS3zA2aYho,4.0
mRpfEgLgbNA,0.0
O2eqgdwFaf8,8.0
8tuZD_55tIk,165.0
2n4xAKzIviU,3.0
GLpN1_87VCU,12.0
96nnxpZQ-Cg,15.0
wddRoP1tCO0,9.0
sRHysSdMnl4,9.0
Zov3vZ0-abM,2.0
VRhnBIWKyNs,0.0
aE4Kt1h_Yak,35.0
uh1spEm0tIc,5.0
rSxqHVLlo38,480.0
0v24eh8LNoM,71.0
Z_RTjFTpM7k,4.0
jNB1RxFmI3s,0.0
jGw0in7PsCw,0.0
b4EYSPCYXqU,32.0
t4w4pHDrur8,8.0
UUT8ANPWoVU,0.0
N-EyhELD7sE,119.0
G-69UXA82yg,0.0
xKZCWBqoOrY,813.0
COjwaPugRa4,314.0
jZZHiHUEKHI,46.0
ZPHHA8OmF0M,2.0
vka8SjymtpU,1.0
5BWkFBgSI3k,0.0
5knes4xaWtI,0.0
pbDCa3g99jc,2.0
1zcv-iFBSew,11.0
yDw95x48Hm4,91.0
KYjlGPn_Xis,0.0
u9XR7BghfGM,1.0
F_uq_P8WsVI,12.0
15F118hx-bY,0.0
SCMGqzhpwr8,22.0
0CVNXaTgGXw,0.0
vCcfB1G1bVk,0.0
s8ElWXhbPek,28.0
Ax4cT_1WtJ8,72.0
BjVvr9jYlsA,105.0
bX1f8aI45hc,1.0
raX8gYYgXV0,0.0
F5Q6tCUyVd4,4.0
QznCHd44Ha8,4.0
slccEEuEYKM,0.0
_-WUlUmSSvI,3.0
IktpDkskYJA,5.0
Njgq8FoXwPs,1.0
lArIJJ1r-O4,0.0
va7Fe54VA_I,399.0
Ih9fFCRgRco,18.0
MhziIACnf6s,0.0
gPujExtXm5w,0.0
YfG0v0Qrjd4,18.0
L9jZM3KAiIo,0.0
FnhqLt1zAgQ,208.0
Ejg6h5HBmpE,12.0
tuZcwe1e2bM,708.0
w5SOKwlsbT8,8.0
GPL0d1LwEiQ,332.0
jGYgNnGJuoA,18.0
3rA_rAUehoo,0.0
OZIAy22LVCw,6.0
lJeoalk33-4,189.0
1Qf50JxXKXo,0.0
PEvLRMgU8Lw,3.0
2tT5F19IcZw,379.0
kTzS_o26s9s,890.0
9JT8jRO9bX0,0.0
B7TkHcSKCfo,9.0
HiDcnf3zwnQ,0.0
660oFWyM0XA,2.0
o8SqgovYDQk,0.0
a01DO6jE3HQ,0.0
HXs1PuYWC88,34.0
OZ6_MeGPpwc,73.0
7DMVxc4Vec0,0.0
WDgBI6GSGoE,0.0
bEceUNTn1KU,4.0
Y6dTZXhVn3M,0.0
O8Oxba7iyNw,13.0
h3O-C56DjgY,20.0
TwwjMYNsYWo,0.0
qYxzOhBLoKI,8.0
bsUVxoCHeWE,2.0
MQ_InA3GSXE,4.0
FMHbhuoLPcw,5.0
mtsLUryQ8SY,28.0
lr-L6DMmuSc,0.0
GsF5w25NlkY,373.0
yGN8z7IAseE,6.0
wlh65MER6pc,67.0
nOuZwWLl2cs,16.0
MmmBA2XU23g,4.0
