author,video_id,likes,replies
64235,wI-ehrcqqAk,0,0
5676,5Avi3BFMwUM,5,0
39022,oCLVdv0Z9o8,0,0
34559,Z5eBeaW5tLE,0,0
4085,VAtFCKX5gmY,0,0
9454,RzhAS_GnJIc,0,0
50045,sw2rZMq9_3c,4,0
50045,EjPiDLTTeEU,0,0
3646,aPSOHepmd0g,0,0
50013,BJUCnwAkNeo,0,0
27566,aGd5HKpIVUE,0,0
27647,JbYnaf3Zi5o,0,0
58027,ItDefIAyDh4,0,0
58087,JZM2NYH1R08,0,0
34580,V1xTIUpeTVw,0,0
58087,UtiDwXcjwtw,0,0
2637,ths9XB6sV8g,1,0
64869,0ggKe409_F4,0,0
25625,m1X6kGuWcXk,0,0
55247,ugEZK2rQiM4,4,0
39648,2gcmuF0qTBw,0,0
45429,urpFPYhd0Ss,0,0
14926,JkrtBTKd9bE,0,0
63736,2zIuqGNVn38,0,0
42859,w0HTWXGnkMk,0,0
14608,ayOGdhtVCPo,0,0
30809,eYfWHCoN3NA,2,0
63794,fCp2G-wHUic,0,0
22901,UGw1PaVHx-I,8,5
35749,OaWF9wkiWuY,0,0
61154,zUNG6It2T_o,0,0
97,rduaYfawyAo,0,0
45579,BWRQAbxriH8,0,0
46602,iD2rhdFRehU,2,0
62083,2pvmdPM4kY0,0,0
37544,doZqHhbLKyU,0,0
36510,GRz6A8zV_XA,1,0
4736,BhIxB_S3A9Q,0,0
17654,juSR9oTibe4,0,0
58087,2l2JWVyfNFM,0,0
30788,u_sDNsLkqN0,0,0
2878,YPD369T87Mw,0,0
16863,rlZ8rAs0rcM,0,0
21571,as-TsLv3nCU,0,0
14370,-ikET7LjzdI,0,0
47009,bJJPCcshrEI,0,0
31824,q4TNQM9rGGE,2,1
22542,JFbrl1WRNl4,0,0
55812,7rpxngIijZc,0,0
60505,q4kiwF3aFs4,0,0
58087,S4-6ibMlnD0,0,0
34809,GZVDnmCvMqE,0,0
4553,6TVjC874MpU,4,0
39123,L1WvDlbFU-g,0,0
58044,XR5Iteeiq2M,0,0
41274,LwBkPce3iGA,0,0
24734,iymAop1vSdk,0,0
12347,7r6OWI550po,0,0
59701,Td5JEXvTVPk,0,0
23901,skDtN04uENA,0,0
25698,ZPiCduXdUyY,0,0
3167,yz7Cn3pHibo,0,0
47430,0BNoPOkQgC0,0,0
3610,5S69Sbkei1U,1,5
53082,X2BYmmTI04I,0,0
1467,ATAPUHwiA24,0,0
54822,4Ej6Vws98UY,0,0
680,nDaDIDKUVHo,0,0
7356,m1uLQ7arzKs,5,0
