categories,channel_id,dislike_count,display_id,duration,like_count,upload_date,view_count
Film & Animation,UCzWrhkg9eK5I8Bm3HfV-unA,1.0,J_WLXskvMQo,1033,8.0,2016-09-15,2551.0
Film & Animation,UCzWrhkg9eK5I8Bm3HfV-unA,0.0,evnxtBrBY0s,1979,11.0,2016-02-01,1152.0
Gaming,UCzWrhkg9eK5I8Bm3HfV-unA,1.0,Ia4RTAbSk1o,2380,11.0,2017-06-17,6177.0
Sports,UCzWn_gTaXyH5Idyo8Raf7_A,63.0,2PXjv5fGHoo,925,3062.0,2017-12-11,142104.0
Gaming,UCzWfqsjlvzAOUozsGFR3kbg,22.0,OHXFN_km9wg,42,542.0,2015-04-01,23076.0
Music,UCzWdpFOflXTOk5Gsi2aJ67g,1.0,tlS6JlFZPF4,494,84.0,2018-08-15,2392.0
Music,UCzWLloEwMWZYnUErRF5WWCg,3.0,y5d7iPPpaEU,177,290.0,2019-04-29,11689.0
Music,UCzWLloEwMWZYnUErRF5WWCg,2.0,vxQJ5R-64MU,210,17.0,2017-02-10,592.0
People & Blogs,UCzVw9odnihM5PgKSv5UnDPA,39.0,mojn-Fhbobc,609,326.0,2019-08-19,44215.0
Entertainment,UCzVt21g9aCG6EM5hgTtQjeQ,1.0,hZBBmUhoN4Q,1028,66.0,2013-10-20,1419.0
Entertainment,UCzVn5MukMsABSfWktHaw-qw,2.0,k6xa58MpYNI,430,313.0,2016-12-05,2622.0
Entertainment,UCzV74pBOfwtAMuOm-Jg8gqg,8.0,5qzk-oFsB9I,583,59.0,2013-04-07,1108.0
Gaming,UCzV3Xt_qXi8KaaBR58q-qFg,7.0,PxzVk-eAjTo,1537,264.0,2018-03-15,7080.0
Entertainment,UCzV3Xt_qXi8KaaBR58q-qFg,5.0,sT96I3n73SY,2650,84.0,2012-02-09,10642.0
People & Blogs,UCzUr1-h5SA67mZ3fJbiKFwg,1.0,FgVxXqZ3lew,1034,241.0,2017-10-17,3760.0
Travel & Events,UCzUiZTXE5TdDoDLEu5bynHg,1.0,ZYxb4YluUkY,84,14.0,2017-08-06,486.0
News & Politics,UCzUV5283-l5c0oKRtyenj6Q,387.0,5NeqTdS5nxc,276,8688.0,2012-07-15,863061.0
Howto & Style,UCzTtkLZFy6wqD4SsA9_fTtw,1925.0,vTCD1YFGUS4,119,16061.0,2014-11-25,441123.0
Sports,UCzTfnC661R3LXu_mS9aRFKA,1.0,OpPHtGxpo38,87,105.0,2019-09-19,3598.0
Sports,UCzTfnC661R3LXu_mS9aRFKA,2.0,1DCY1kXycRE,83,32.0,2017-12-03,6300.0
Howto & Style,UCzTeeF5DIjaXWLgPrRQVvww,120.0,eA8NSl2N7o8,175,326.0,2012-02-12,409120.0
Education,UCzTWdr_9IVWWmeStz5qDjoA,0.0,EM1lfTfQpdA,317,7.0,2015-06-22,1220.0
People & Blogs,UCzTTM7g6KJ1lFF9wuJCdvTg,7.0,fZv-9lXngOs,634,80.0,2015-03-27,1559.0
Gaming,UCzTNeXPYqdKGCEx6lY8Ddjg,0.0,VPCYIvbNORg,195,27.0,2014-09-12,1428.0
Howto & Style,UCzTKskwIc_-a0cGvCXA848Q,1116.0,A9Dv_f1ASnw,774,91394.0,2017-07-18,2461152.0
Music,UCzTKDRcqafJN4C5mZ2MtQlQ,0.0,sovaylSLG2E,78,4.0,2016-02-11,562.0
Music,UCzTKDRcqafJN4C5mZ2MtQlQ,14.0,CZb3vfL8eQY,75,44.0,2011-11-03,15032.0
Music,UCzTKDRcqafJN4C5mZ2MtQlQ,1.0,xUWnQz7cGyU,75,1.0,2011-10-30,224.0
Music,UCzTKDRcqafJN4C5mZ2MtQlQ,43.0,633xYR9qnhQ,75,212.0,2011-10-25,64720.0
Music,UCzTKDRcqafJN4C5mZ2MtQlQ,6.0,WI1Jhw0SEx4,78,29.0,2016-02-29,6369.0
Comedy,UCzTJq98gfnGHAN1xDB-_Xaw,0.0,8ICXGKJIZcE,26,5.0,2017-08-25,40.0
Comedy,UCzT73gKv9LH9MhIZa14VQNA,0.0,3MCnmGw4pSk,89,0.0,2015-11-02,129.0
Howto & Style,UCzT17-Lvc5L_gIT10JQsjSA,339.0,yZ7L0frQerU,925,26765.0,2017-04-09,387552.0
Travel & Events,UCzSq8a0A7IUFfLGZxffkvyg,22.0,Vf6zei-iku8,192,236.0,2019-06-02,20635.0
News & Politics,UCzSq7O3MmG-EF0Gq68uSjPw,20.0,blXLZTHIRuw,301,16.0,2009-07-07,3045.0
Howto & Style,UCzSfs_901YD6aBkiF-pAo2g,17.0,ywjLSNrHaRM,5229,201.0,2014-10-14,50122.0
Howto & Style,UCzSfs_901YD6aBkiF-pAo2g,18.0,rrWtb6IAYNY,3693,304.0,2014-05-28,57347.0
Entertainment,UCzSXLrUVmh5KjdMhT54FtjA,2.0,wbH8jofZzPE,161,8.0,2019-02-03,594.0
News & Politics,UCzSXLrUVmh5KjdMhT54FtjA,2.0,xxGBhUwG-gw,469,2.0,2018-02-16,130.0
Music,UCzSToT1Pvk3gLSSDv17PFUg,3.0,ipZuGq6SPvM,155,265.0,2019-09-15,7796.0
News & Politics,UCzSSoloGEz10HALUAbYhngQ,10.0,Bsez17gP10s,50,312.0,2018-08-31,23006.0
Gaming,UCzSSh5jrMe1xyGe9t9aADYQ,3.0,PV9bEdnvIFk,787,0.0,2012-10-08,26.0
Gaming,UCzSSh5jrMe1xyGe9t9aADYQ,3.0,dpH7Zz35WDU,789,1.0,2012-02-20,40.0
Gaming,UCzSSh5jrMe1xyGe9t9aADYQ,0.0,_dhPykjDvrk,685,3.0,2012-02-17,189.0
Comedy,UCzS3-65Y91JhOxFiM7j6grg,218.0,CDAAMy7bSBE,151,1636.0,2016-06-07,148273.0
Comedy,UCzS3-65Y91JhOxFiM7j6grg,82.0,6gifrVfzaa4,263,1941.0,2012-07-12,212753.0
Travel & Events,UCzS1LsjeAAxQliZVtpp7tPQ,1.0,_2dSIZZoJc0,313,46.0,2017-05-20,2649.0
Travel & Events,UCzS1LsjeAAxQliZVtpp7tPQ,0.0,SkaEUaOMAGU,93,1.0,2012-09-27,496.0
Travel & Events,UCzS1LsjeAAxQliZVtpp7tPQ,2.0,onqCgH_H1B4,470,33.0,2011-11-13,7735.0
Gaming,UCzRtxSJGYLkYZUGY2xcQ6uQ,6.0,x2AaEC2_1bQ,88,649.0,2015-02-07,24317.0
Gaming,UCzRtxSJGYLkYZUGY2xcQ6uQ,1.0,cmfOdQt0MNY,1972,13.0,2013-05-08,431.0
People & Blogs,UCzRrheyUCB_qUrrfQ_sEG-Q,59.0,RVYzv__2nxA,788,2766.0,2015-01-30,120562.0
News & Politics,UCzRky8kQXfAjFZt_H7hp9eg,1.0,N16-okv6jFY,1536,29.0,2019-09-20,684.0
Music,UCzRbBk23Ul5kV1mtDcKBhgQ,0.0,863IzB2oA4s,385,15.0,2013-05-20,1028.0
Education,UCzRF-OFuv8os-bGzANpQGqg,1.0,-2JCCD0fYd0,262,141.0,2016-10-09,8480.0
Entertainment,UCzRDbN7DlgKFC0lzO4YGxCw,1.0,ZP5KatuD7vo,93,50.0,2012-03-23,3201.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,7.0,yHbqZuLNtbk,604,427.0,2019-09-07,13436.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,LZnDggXoF0s,193,11.0,2019-01-11,497.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,2.0,blQRsoBB0mI,175,160.0,2018-06-24,9691.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,M1KTicTxFGo,758,8.0,2018-04-11,258.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,11.0,KhVGYMI0ygI,285,133.0,2017-10-20,8659.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,2.0,t47SLu6d4II,614,14.0,2017-08-09,1822.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,XbPO_knfkm0,78,6.0,2017-06-06,1011.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,3.0,s5eoEey9A_c,519,30.0,2011-10-19,7177.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,fOsiicGpLGk,365,0.0,2011-10-19,172.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,JZw-LilgHSY,181,1.0,2011-10-10,304.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,xhMvoWyot3E,112,0.0,2010-11-03,475.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,AvN2YHP2Oe0,288,8.0,2017-03-27,1629.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,xS_jKaD1uCo,337,8.0,2017-03-27,1284.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,12.0,hXDSqvIEmPs,325,213.0,2017-02-07,28515.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,ga1z6J3Z3gU,73,10.0,2017-01-24,959.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,4.0,5mHZjwz-iv8,309,196.0,2016-11-28,26717.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,0.0,1Sw_gjr6TRo,242,1.0,2016-07-20,417.0
Entertainment,UCzR7770PbrKcG9OYGzBep9w,6.0,8jJc-nssIIU,315,545.0,2015-03-24,41989.0
